Date,Name,PreOrg,cowgirl,doggy,kinky,missionary,reversecowgirl,standing,HerRanking,MyRanking,OurRanking
2010-05-18 00:00:00,J1,1,False,False,False,True,False,False,10,6,8
2010-05-19 00:00:00,J1,1,False,False,False,True,False,False,10,10,10
2010-05-19 12:00:00,J1,2,False,True,False,True,False,False,10,7,8.5
2010-05-20 00:00:00,J1,2,False,False,False,False,False,False,10,10,10
2010-05-20 12:00:00,J1,2,False,True,False,True,False,False,10,7,8.5
2010-05-22 00:00:00,J1,1,False,True,False,True,False,True,10,0,5
2010-05-22 12:00:00,J1,2,False,False,False,True,False,False,10,10,10
2010-05-28 00:00:00,J1,3,False,False,False,False,False,False,10,10,10
2010-05-28 12:00:00,J1,1,False,False,False,False,False,False,7,7,7
2010-05-29 00:00:00,J1,0,False,False,False,False,False,False,0,1,0.5
2010-06-01 00:00:00,J1,1,False,False,False,True,False,True,10,4,7
2010-06-02 00:00:00,J1,0,False,True,False,False,False,True,3,0,1.5
2010-06-05 00:00:00,J1,1,False,True,False,True,False,False,10,3,6.5
2010-06-06 00:00:00,J1,0,False,True,False,True,False,False,4,0,2
2010-06-09 00:00:00,J1,1,False,False,False,True,True,False,5,10,7.5
2010-06-11 00:00:00,J1,1,False,True,False,True,False,False,10,3,6.5
2010-06-12 00:00:00,J1,1,True,True,False,False,False,False,1,5,3
2010-06-14 00:00:00,J1,1,False,False,False,False,False,False,7,5,6
2010-06-15 00:00:00,J1,0,False,False,False,False,False,False,2,1,1.5
2010-06-17 00:00:00,J1,3,False,False,False,False,False,False,10,10,10
2010-06-23 00:00:00,J1,1,False,False,False,False,False,False,7,5,6
2010-06-26 00:00:00,J1,0,False,False,False,True,False,False,2,3,2.5
2010-06-26 08:00:00,J1,1,False,True,False,True,False,False,10,4,7
2010-06-26 16:00:00,J1,1,False,True,False,False,False,False,7,2,4.5
2010-06-28 00:00:00,J1,0,False,False,False,True,False,False,3,4,3.5
2010-06-30 00:00:00,J1,1,True,True,False,True,False,False,5,7,6
2010-07-01 00:00:00,J1,0,False,False,False,True,False,False,2,3,2.5
2010-07-02 00:00:00,J1,1,False,False,False,False,False,False,7,6,6.5
2010-07-02 12:00:00,J1,0,False,False,False,True,False,False,5,5,5
2010-07-03 00:00:00,J1,2,False,False,False,True,False,False,10,10,10
2010-07-05 00:00:00,J1,3,False,True,False,False,False,True,10,6,8
2010-07-07 00:00:00,J1,1,False,False,False,True,True,False,6,10,8
2010-07-16 00:00:00,J1,0,False,False,False,True,False,False,3,2,2.5
2010-07-17 00:00:00,J1,0,False,True,False,True,False,False,3,0,1.5
2010-07-20 00:00:00,J1,1,False,False,False,True,False,False,8,7,7.5
2010-07-20 12:00:00,J1,0,False,True,False,False,False,False,4,0,2
2010-07-21 00:00:00,J1,0,False,True,False,True,False,False,3,0,1.5
2010-07-30 00:00:00,J1,1,False,False,False,True,False,False,10,8,9
2010-08-01 00:00:00,J1,1,False,False,False,False,False,False,7,5,6
2010-08-02 00:00:00,J1,0,False,False,False,False,False,False,2,1,1.5
2010-08-08 00:00:00,J1,0,False,True,False,False,False,False,2,0,1
2010-08-14 00:00:00,J1,1,False,False,False,False,False,False,8,3,5.5
2010-08-14 12:00:00,J1,0,False,False,False,False,False,False,0,1,0.5
2010-08-15 00:00:00,J1,0,False,True,False,False,False,False,1,0,0.5
2010-08-17 00:00:00,J1,0,False,False,False,True,False,False,4,3,3.5
2010-08-29 00:00:00,J1,1,False,False,False,True,False,False,8,8,8
2010-09-06 00:00:00,J1,1,False,False,False,False,False,False,8,6,7
2010-09-07 00:00:00,J1,3,False,True,False,False,False,False,10,10,10
2010-09-10 00:00:00,J1,1,False,False,False,True,False,False,10,10,10
2010-09-13 00:00:00,J1,1,False,False,False,True,False,False,10,10,10
2010-09-13 12:00:00,J1,3,False,False,False,True,False,False,10,10,10
2010-09-19 00:00:00,J1,3,False,False,False,True,False,False,10,10,10
2010-09-21 00:00:00,J1,1,False,False,False,False,False,False,9,5,7
2010-09-23 00:00:00,J1,1,False,False,False,True,False,False,10,8,9
2010-09-24 00:00:00,J1,2,False,True,False,True,False,False,10,6,8
2010-10-01 00:00:00,J1,0,False,False,False,True,False,False,2,3,2.5
2010-10-07 00:00:00,J1,0,False,True,False,False,False,False,3,0,1.5
2010-10-10 00:00:00,J1,0,False,True,False,False,False,False,3,0,1.5
2010-10-16 00:00:00,J1,0,False,True,False,True,False,False,5,0,2.5
2010-11-08 00:00:00,J1,0,False,False,False,True,False,False,3,2,2.5
2010-11-19 00:00:00,J1,1,False,True,False,True,False,False,10,3,6.5
2010-11-22 00:00:00,J1,2,False,False,False,False,False,False,10,10,10
2010-12-16 00:00:00,J1,0,False,False,False,True,True,False,0,9,4.5
2010-12-25 00:00:00,J1,0,False,False,False,True,False,False,2,2,2
2011-01-25 00:00:00,J1,0,False,True,False,False,False,False,0,0,0
2011-12-01 00:00:00,J2,3,False,True,False,False,False,False,6,10,8
2011-12-01 12:00:00,J2,1,True,True,False,False,False,False,7,4,5.5
2011-12-03 00:00:00,J2,1,True,False,False,False,False,False,7,10,8.5
2011-12-04 00:00:00,J2,2,False,True,False,False,False,False,4,5,4.5
2011-12-05 00:00:00,J2,2,True,False,False,False,True,False,8,10,9
2011-12-06 00:00:00,J2,1,False,False,False,False,False,False,2,7,4.5
2011-12-07 00:00:00,J2,0,False,False,False,False,False,False,0,0,0
2011-12-08 00:00:00,J2,2,True,False,False,False,False,False,9,10,9.5
2011-12-09 00:00:00,J2,0,True,True,False,False,False,False,8,0,4
2011-12-09 12:00:00,J2,0,False,True,False,True,False,False,5,0,2.5
2011-12-10 00:00:00,J2,2,False,False,True,False,False,False,10,10,10
2011-12-10 08:00:00,J2,2,False,False,False,False,False,False,3,10,6.5
2011-12-10 16:00:00,J2,0,False,False,False,False,False,False,1,0,0.5
2011-12-11 00:00:00,J2,1,False,True,False,False,False,False,1,1,1
2011-12-12 00:00:00,J2,3,False,False,False,False,False,False,5,10,7.5
